x1,x2,x3,x4,x5,x6,y1,y2,y3,y4,y5,y6
1,1,2,2,3,3,0,2,4,3,5,6
1,1,2,3,3,2,0,1,4,4,5,6
1,1,2,6,3,3,0,2,4,7,5,10
0,1,1,5,2,2,3,6,4,7,5,13
0,2,1,1,4,7,2,6,3,3,5,10
0,4,2,2,4,5,1,3,3,7,5,12
0,3,1,1,5,7,2,2,3,4,4,3
1,1,2,1,5,6,0,3,3,4,4,2
0,2,2,3,4,7,1,4,3,6,5,13
0,6,1,1,4,5,2,4,3,7,5,12
0,4,2,3,4,6,1,3,3,7,5,13
1,1,3,6,4,6,0,5,2,5,5,12
0,1,1,5,2,1,3,6,4,6,5,12
2,2,3,2,4,3,0,1,1,1,5,5
0,5,1,2,2,2,3,7,4,4,5,11
2,2,3,11,4,4,0,9,1,2,5,15
2,2,3,6,4,7,0,1,1,5,5,13
1,3,2,3,3,6,0,3,4,6,5,12
0,6,1,3,4,4,2,1,3,9,5,13
0,8,2,3,4,4,1,1,3,9,5,13
1,3,3,5,4,5,0,2,2,2,5,10
0,5,1,2,2,3,3,7,4,5,5,12
0,7,1,3,4,4,2,1,3,10,5,14
2,2,3,4,5,7,0,3,1,1,4,3
0,1,2,6,3,7,1,6,4,12,5,19
0,1,3,3,5,13,1,2,2,8,4,10
2,4,3,2,5,7,0,1,1,1,4,5
0,2,3,3,4,3,1,1,2,2,5,6
0,3,1,5,4,7,2,2,3,8,5,15
0,3,1,6,2,2,3,9,4,8,5,17
1,1,4,4,5,15,0,10,2,3,3,11
1,1,2,6,3,5,0,4,4,7,5,12
1,1,3,11,4,6,0,10,2,5,5,17
0,2,3,3,5,13,1,1,2,9,4,10
1,2,2,2,3,4,0,2,4,4,5,8
1,1,2,1,3,4,0,3,4,2,5,6
2,1,3,6,4,6,0,1,1,5,5,12
0,2,3,4,4,5,1,2,2,3,5,9
0,3,1,5,2,6,3,8,4,11,5,19
0,1,1,5,2,4,3,6,4,9,5,15
0,6,1,1,2,7,3,7,4,8,5,15
0,1,1,8,2,3,3,9,4,11,5,20
0,1,1,3,5,13,2,6,3,4,4,9
0,1,2,2,4,14,1,12,3,13,5,27
0,10,2,3,4,4,1,1,3,11,5,15
2,3,4,4,5,15,0,10,1,1,3,11
0,2,1,7,2,6,3,9,4,13,5,22
0,1,4,6,5,12,1,5,2,1,3,6
2,3,4,4,5,14,0,9,1,1,3,10
0,6,1,2,4,7,2,5,3,8,5,15
2,2,3,7,5,13,0,3,1,4,4,6
1,1,4,4,5,9,0,4,2,3,3,5
2,2,4,6,5,15,0,5,1,4,3,9
1,2,4,3,5,7,0,2,2,1,3,4
2,1,3,7,4,2,0,6,1,1,5,9
0,1,4,7,5,12,1,4,2,3,3,5
2,6,3,5,4,7,0,4,1,1,5,12
0,3,2,1,4,3,1,2,3,5,5,8
1,1,3,7,5,12,0,6,2,4,4,5
0,10,2,1,4,4,1,3,3,13,5,17
0,11,1,3,2,2,3,14,4,5,5,19
0,9,1,1,2,6,3,10,4,7,5,17
0,5,1,2,2,7,3,7,4,9,5,16
0,11,1,1,4,6,2,5,3,12,5,18
0,4,1,3,4,12,2,9,3,7,5,19
0,8,1,2,4,7,2,5,3,10,5,17
1,4,2,7,3,7,0,3,4,11,5,18
0,6,1,6,2,3,3,12,4,9,5,21
0,11,2,3,4,6,1,3,3,14,5,20
0,2,1,6,2,7,3,8,4,13,5,21
0,7,1,5,2,1,3,12,4,6,5,18
0,1,1,4,2,10,3,5,4,14,5,19
0,1,3,2,4,8,1,1,2,7,5,10
0,12,1,3,4,4,2,1,3,15,5,19
0,11,1,3,4,5,2,2,3,14,5,19
0,4,2,5,4,7,1,2,3,6,5,13
0,1,2,10,3,6,1,5,4,15,5,21
0,2,2,3,3,8,1,6,4,9,5,17
1,2,2,1,3,11,0,9,4,3,5,14
1,2,2,7,3,5,0,3,4,9,5,14
1,2,3,9,4,6,0,7,2,4,5,15
0,2,4,5,5,9,1,2,2,3,3,4
1,3,2,4,3,4,0,1,4,7,5,11
0,6,1,5,2,7,3,11,4,12,5,23
1,2,3,10,4,7,0,8,2,5,5,17
0,4,2,2,4,15,1,13,3,17,5,32
0,5,1,3,5,13,2,2,3,8,4,5
2,1,4,6,5,15,0,4,1,5,3,9
0,6,1,7,2,1,3,13,4,8,5,21
1,2,2,3,3,8,0,6,4,5,5,13
0,3,1,10,2,3,3,13,4,13,5,26
2,1,3,5,4,2,0,4,1,1,5,7
2,3,3,13,4,4,0,12,1,1,5,17
0,3,1,1,2,14,3,4,4,15,5,19
1,3,2,5,3,5,0,2,4,8,5,13
0,10,2,1,4,6,1,5,3,15,5,21
0,2,1,11,2,1,3,13,4,12,5,25
0,1,3,2,5,8,1,1,2,5,4,6
1,2,3,15,4,4,0,13,2,2,5,19
0,4,1,1,4,15,2,14,3,5,5,20
0,10,1,3,2,1,3,13,4,4,5,17
0,1,1,4,4,13,2,9,3,5,5,18
0,1,1,1,5,11,2,8,3,2,4,9
0,1,2,1,4,15,1,14,3,15,5,30
0,5,2,5,4,7,1,2,3,7,5,14
0,1,2,11,3,5,1,4,4,15,5,20
0,3,1,9,2,7,3,12,4,16,5,28
0,2,2,7,3,10,1,8,4,15,5,25
0,1,2,5,4,12,1,7,3,8,5,20
